text,label
"I absolutely loved this product, it exceeded my expectations",positive
"Terrible experience, I want a refund immediately",negative
"The service was fast and the staff were very friendly",positive
"This is the worst purchase I have ever made",negative
"Great quality and excellent customer support",positive
"I am extremely disappointed with the delivery time",negative
"Highly recommend this to everyone I know",positive
"The product broke after just two days of use",negative
"Amazing value for the price, will buy again",positive
"Customer service was rude and unhelpful",negative
"Very satisfied with my purchase, works perfectly",positive
"The packaging was damaged and the item was defective",negative
"Fantastic experience from start to finish",positive
"I regret buying this, complete waste of money",negative
"The team went above and beyond to help me",positive
"Poor quality material, not worth the price",negative
"Exceeded my expectations in every way",positive
"Never buying from this store again",negative
"Quick shipping and item as described",positive
"The instructions were confusing and unclear",negative
"Outstanding support team, resolved my issue quickly",positive
"Very slow response and unresolved complaint",negative
"Best purchase decision I made this year",positive
"The product stopped working within a week",negative
"Really happy with the results, thank you",positive
"Extremely frustrated with this whole process",negative
"Solid build quality and great design",positive
"Waste of time and money, do not recommend",negative
"Superb performance and reliability",positive
"Disappointing quality control from the manufacturer",negative
